Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,5,29,3,Some Random Commen with Id 0
1,1,5,158,3,Some Random Commen with Id 1
2,1,5,78,8,Some Random Commen with Id 2
3,3,8,146,3,Some Random Commen with Id 3
4,3,8,85,9,Some Random Commen with Id 4
5,3,8,82,3,Some Random Commen with Id 5
6,3,8,34,2,Some Random Commen with Id 6
7,5,0,15,7,Some Random Commen with Id 7
8,5,0,124,5,Some Random Commen with Id 8
9,5,0,111,3,Some Random Commen with Id 9
10,5,0,22,9,Some Random Commen with Id 10
11,5,0,163,4,Some Random Commen with Id 11
12,5,0,111,4,Some Random Commen with Id 12
13,5,0,49,3,Some Random Commen with Id 13
14,7,0,120,4,Some Random Commen with Id 14
15,7,0,68,9,Some Random Commen with Id 15
16,7,0,120,2,Some Random Commen with Id 16
17,7,0,36,1,Some Random Commen with Id 17
18,7,0,15,2,Some Random Commen with Id 18
19,7,0,160,6,Some Random Commen with Id 19
20,7,0,22,8,Some Random Commen with Id 20
21,7,0,109,5,Some Random Commen with Id 21
22,10,5,52,1,Some Random Commen with Id 22
23,11,0,160,4,Some Random Commen with Id 23
24,11,0,122,1,Some Random Commen with Id 24
25,11,0,50,5,Some Random Commen with Id 25
26,12,5,26,3,Some Random Commen with Id 26
27,12,5,68,0,Some Random Commen with Id 27
28,12,5,182,0,Some Random Commen with Id 28
29,13,2,138,4,Some Random Commen with Id 29
30,14,6,179,1,Some Random Commen with Id 30
31,14,6,75,0,Some Random Commen with Id 31
32,14,6,84,8,Some Random Commen with Id 32
33,14,6,72,6,Some Random Commen with Id 33
34,14,6,64,6,Some Random Commen with Id 34
35,15,3,86,1,Some Random Commen with Id 35
36,15,3,193,3,Some Random Commen with Id 36
37,15,3,11,4,Some Random Commen with Id 37
38,15,3,59,7,Some Random Commen with Id 38
39,15,3,161,1,Some Random Commen with Id 39
40,15,3,109,1,Some Random Commen with Id 40
41,15,3,4,6,Some Random Commen with Id 41
42,15,3,99,9,Some Random Commen with Id 42
43,16,7,13,6,Some Random Commen with Id 43
44,16,7,88,2,Some Random Commen with Id 44
45,16,7,71,5,Some Random Commen with Id 45
46,16,7,0,8,Some Random Commen with Id 46
47,16,7,178,8,Some Random Commen with Id 47
48,16,7,83,4,Some Random Commen with Id 48
49,16,7,51,3,Some Random Commen with Id 49
50,16,7,24,7,Some Random Commen with Id 50
51,16,7,161,0,Some Random Commen with Id 51
52,17,0,84,4,Some Random Commen with Id 52
53,17,0,4,9,Some Random Commen with Id 53
54,17,0,33,7,Some Random Commen with Id 54
55,18,6,42,7,Some Random Commen with Id 55
56,18,6,198,2,Some Random Commen with Id 56
57,18,6,178,3,Some Random Commen with Id 57
58,18,6,119,4,Some Random Commen with Id 58
59,18,6,142,2,Some Random Commen with Id 59
60,18,6,123,7,Some Random Commen with Id 60
61,18,6,103,5,Some Random Commen with Id 61
62,19,4,52,9,Some Random Commen with Id 62
63,19,4,8,8,Some Random Commen with Id 63
64,19,4,85,4,Some Random Commen with Id 64
65,19,4,193,6,Some Random Commen with Id 65
66,19,4,106,9,Some Random Commen with Id 66
67,19,4,191,8,Some Random Commen with Id 67
68,19,4,153,6,Some Random Commen with Id 68
69,20,6,79,0,Some Random Commen with Id 69
70,21,6,173,5,Some Random Commen with Id 70
71,21,6,3,5,Some Random Commen with Id 71
72,21,6,132,6,Some Random Commen with Id 72
73,21,6,168,1,Some Random Commen with Id 73
74,21,6,36,7,Some Random Commen with Id 74
75,22,5,109,4,Some Random Commen with Id 75
76,22,5,140,8,Some Random Commen with Id 76
77,22,5,145,8,Some Random Commen with Id 77
78,22,5,61,1,Some Random Commen with Id 78
79,22,5,81,6,Some Random Commen with Id 79
80,22,5,142,9,Some Random Commen with Id 80
81,22,5,147,2,Some Random Commen with Id 81
82,22,5,110,0,Some Random Commen with Id 82
83,23,5,79,5,Some Random Commen with Id 83
84,23,5,116,2,Some Random Commen with Id 84
85,23,5,17,8,Some Random Commen with Id 85
86,23,5,157,9,Some Random Commen with Id 86
87,24,9,36,8,Some Random Commen with Id 87
88,24,9,28,1,Some Random Commen with Id 88
89,24,9,123,5,Some Random Commen with Id 89
90,24,9,103,7,Some Random Commen with Id 90
91,24,9,138,0,Some Random Commen with Id 91
92,24,9,54,0,Some Random Commen with Id 92
93,24,9,69,6,Some Random Commen with Id 93
94,24,9,150,7,Some Random Commen with Id 94
95,24,9,19,3,Some Random Commen with Id 95
96,25,0,170,0,Some Random Commen with Id 96
97,26,5,128,7,Some Random Commen with Id 97
